inputs,outputs
"car, what is my home address and can you get us there with no traffic? the only route home to home_address has a car collision reported.  patience, please set the gps to go there, thank you!",setting navigation now. drive carefully.
"i need to find a gas station fast, we are about out.  the closest gas station is shell located Shell_distance away.  what is the address? shell is located at Shell_address. let's pick the quickest route to go there, thank you car!",setting the quickest route to shell now. have a good day.
where is my home?,home is home_address.
"what's the weather like this week what city do you want the weather for? san mateo, please.  the weather next week in san mateo for monday is foggy, low of 90f, high of 100f, for tuesday is raining, low of 40f, high of 60f, wednesday is windy, low of 70f, high of 80f, thursday is snow, low of 80f, high of 90f and friday is	clear skies, low of 60f, high of 70f, saturday is overcast, low of 80f, high of 90f and finally sunday is san_mateo_sunday. perfect, thanks.",you are welcome.
"where is there chinese food? i have a chinese restaurant that is Jing_Jing_distance away named jing jing. need more info? what is the address? jing jing	is at Jing_Jing_address. pick a route to avoid all heavy traffic and let's go there, thank you!",setting gps for quickest route with no traffic now.
what is the highest temperature in manhattan in the next 2 days?,it will be 100f on manhattan_tuesday in manhattan.
what date is my dentist appointment and who is attending?,you have two dentist appointments; one on dentist_appointment_date with jon and one on the 18th with ana.
what is the weather like today in tomorrow what city should i look in? will it rain in boston?,rain should not be falling in boston on boston_tuesday
"is there going to be snow in boston on boston_monday?  it does not look like there will be snow, the forecast for boston_monday is dry in boston thanks.",you're welcome!
get directions to the nearest parking garage the nearest parking garage is at 481 amaranta ave. thanks!,glad i can assist.
"what is the weather going to be today and tomorrow what city would you like this information from? there will be clear skies in corona today and tomorrow? there will be clear skies on corona today, tomorrow it will drizzle thank you car!",you're welcome!
"there will be any hail in danville during the week? there is no hail in the forecast in danville this week.  alright, thanks",you're welcome.
what's today's and tomorrow's forecast,what city do you want the forecast for?
i need to make an appointment to get lab testing done on a certain date,what date should i set your appointment?
"what time is my tennis activity and who is attending? you have two tennis activities scheduled on different dates. both are at 5pm with your tennis_activity_party. would you like to know the dates? yes, that would be helpful.",one is on monday and one is on tennis_activity_date.
give me directions to starbucks,i'm sorry but there are no starbucks around here. would you like to get the address of some other coffee? there is coupa Coupa_distance away.
what is the weather like in danville next week?,what day will you like the forecast for?
what is the weather today in tomorrow what city do you want the forecast for? please tell me the weather report for menlo park today.,"in menlo park today is going to be foggy, low of 60f, high of 70f and tomorrow is going to be menlo_park_tuesday."
where can i get pizza? there is a dominos nearby. what is the address?,"776 arastradero rd, we're Dominos_distance away"
"what is the forecast in my city what city do you want the weather for? inglewood, what's the weekly weather looking like? there is a wide range of conditions for inglewood next week, from 40-100f and snow to hot.  are there any particular details you would like? when is it expected to snow?",it is expected to snow on inglewood_wednesday in inglewood.
